mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,horsepower_log,power_to_weight,displacement_per_cyl,acceleration_per_weight,origin_Europe,origin_Japan,origin_USA
18.0,8,307.0,130,3504,12.0,70,chevrolet chevelle malibu,4.867534450455582,0.0371004566210045,38.375,0.0034246575342465,False,False,True
15.0,8,350.0,165,3693,11.5,70,buick skylark 320,5.10594547390058,0.0446791226645004,43.75,0.0031139994584348,False,False,True
18.0,8,318.0,150,3436,11.0,70,plymouth satellite,5.0106352940962555,0.0436554132712456,39.75,0.0032013969732246,False,False,True
16.0,8,304.0,150,3433,12.0,70,amc rebel sst,5.0106352940962555,0.0436935624817943,38.0,0.0034954849985435,False,False,True
17.0,8,302.0,140,3449,10.5,70,ford torino,4.941642422609304,0.040591475790084,37.75,0.0030443606842563,False,False,True
15.0,8,429.0,198,4341,10.0,70,ford galaxie 500,5.288267030694535,0.045611610228058,53.625,0.0023036166781847,False,False,True
15.0,8,383.0,170,3563,10.0,70,dodge challenger se,5.135798437050262,0.0477126017401066,47.875,0.0028066236317709,False,False,True
15.0,8,400.0,150,3761,9.5,70,chevrolet monte carlo,5.0106352940962555,0.039883009837809,50.0,0.0025259239563945,False,False,True
24.0,4,113.0,95,2372,15.0,70,toyota corona mark ii,4.553876891600541,0.0400505902192242,28.25,0.0063237774030354,False,True,False
22.0,6,198.0,95,2833,15.5,70,plymouth duster,4.553876891600541,0.0335333568655135,33.0,0.0054712319096364,False,False,True
18.0,6,199.0,97,2774,15.5,70,amc hornet,4.574710978503383,0.0349675558759913,33.166666666666664,0.0055875991348233,False,False,True
21.0,6,200.0,85,2587,16.0,70,ford maverick,4.442651256490317,0.0328565906455353,33.333333333333336,0.0061847700038654,False,False,True
27.0,4,97.0,88,2130,14.5,70,datsun pl510,4.477336814478207,0.0413145539906103,24.25,0.0068075117370892,False,True,False
26.0,4,97.0,46,1835,20.5,70,volkswagen 1131 deluxe sedan,3.828641396489095,0.0250681198910081,24.25,0.0111716621253406,True,False,False
25.0,4,110.0,87,2672,17.5,70,peugeot 504,4.465908118654584,0.0325598802395209,27.5,0.0065494011976047,True,False,False
24.0,4,107.0,90,2430,14.5,70,audi 100 ls,4.499809670330265,0.037037037037037,26.75,0.0059670781893004,True,False,False
25.0,4,104.0,95,2375,17.5,70,saab 99e,4.553876891600541,0.04,26.0,0.0073684210526315,True,False,False
26.0,4,121.0,113,2234,12.5,70,bmw 2002,4.727387818712341,0.0505819158460161,30.25,0.0055953446732318,True,False,False
21.0,6,199.0,90,2648,15.0,70,amc gremlin,4.499809670330265,0.0339879154078549,33.166666666666664,0.0056646525679758,False,False,True
10.0,8,307.0,200,4376,15.0,70,chevy c20,5.298317366548036,0.0457038391224862,38.375,0.0034277879341864,False,False,True
11.0,8,318.0,210,4382,13.5,70,dodge d200,5.3471075307174685,0.047923322683706,39.75,0.0030807850296668,False,False,True
9.0,8,304.0,193,4732,18.5,70,hi 1200d,5.262690188904886,0.040786136939983,38.0,0.003909551986475,False,False,True
27.0,4,97.0,88,2130,14.5,71,datsun pl510,4.477336814478207,0.0413145539906103,24.25,0.0068075117370892,False,True,False
28.0,4,140.0,90,2264,15.5,71,chevrolet vega 2300,4.499809670330265,0.0397526501766784,35.0,0.0068462897526501,False,False,True
25.0,4,113.0,95,2228,14.0,71,toyota corona,4.553876891600541,0.0426391382405745,28.25,0.0062836624775583,False,True,False
19.0,6,232.0,100,2634,13.0,71,amc gremlin,4.605170185988092,0.037965072133637,38.666666666666664,0.0049354593773728,False,False,True
16.0,6,225.0,105,3439,15.5,71,plymouth satellite custom,4.653960350157523,0.0305321314335562,37.5,0.0045071241640011,False,False,True
17.0,6,250.0,100,3329,15.5,71,chevrolet chevelle malibu,4.605170185988092,0.0300390507659957,41.666666666666664,0.0046560528687293,False,False,True
19.0,6,250.0,88,3302,15.5,71,ford torino 500,4.477336814478207,0.0266505148394912,41.666666666666664,0.0046941247728649,False,False,True
18.0,6,232.0,100,3288,15.5,71,amc matador,4.605170185988092,0.0304136253041362,38.666666666666664,0.0047141119221411,False,False,True
14.0,8,350.0,165,4209,12.0,71,chevrolet impala,5.10594547390058,0.0392017106200997,43.75,0.0028510334996436,False,False,True
14.0,8,400.0,175,4464,11.5,71,pontiac catalina brougham,5.1647859739235145,0.0392025089605734,50.0,0.0025761648745519,False,False,True
14.0,8,351.0,153,4154,13.5,71,ford galaxie 500,5.030437921392435,0.0368319691863264,43.875,0.0032498796340876,False,False,True
14.0,8,318.0,150,4096,13.0,71,plymouth fury iii,5.0106352940962555,0.03662109375,39.75,0.003173828125,False,False,True
12.0,8,383.0,180,4955,11.5,71,dodge monaco (sw),5.19295685089021,0.036326942482341,47.875,0.0023208879919273,False,False,True
13.0,8,400.0,170,4746,12.0,71,ford country squire (sw),5.135798437050262,0.035819637589549,50.0,0.0025284450063211,False,False,True
13.0,8,400.0,175,5140,12.0,71,pontiac safari (sw),5.1647859739235145,0.0340466926070038,50.0,0.0023346303501945,False,False,True
18.0,6,258.0,110,2962,13.5,71,amc hornet sportabout (sw),4.700480365792417,0.0371370695476029,43.0,0.0045577312626603,False,False,True
22.0,4,140.0,72,2408,19.0,71,chevrolet vega (sw),4.276666119016055,0.0299003322259136,35.0,0.0078903654485049,False,False,True
19.0,6,250.0,100,3282,15.0,71,pontiac firebird,4.605170185988092,0.0304692260816575,41.666666666666664,0.0045703839122486,False,False,True
18.0,6,250.0,88,3139,14.5,71,ford mustang,4.477336814478207,0.0280344058617394,41.666666666666664,0.0046193055113093,False,False,True
23.0,4,122.0,86,2220,14.0,71,mercury capri 2000,4.454347296253507,0.0387387387387387,30.5,0.0063063063063063,False,False,True
28.0,4,116.0,90,2123,14.0,71,opel 1900,4.499809670330265,0.0423928403203014,29.0,0.0065944418276024,True,False,False
30.0,4,79.0,70,2074,19.5,71,peugeot 304,4.248495242049359,0.0337512054001928,19.75,0.0094021215043394,True,False,False
30.0,4,88.0,76,2065,14.5,71,fiat 124b,4.330733340286331,0.0368038740920096,22.0,0.0070217917675544,True,False,False
31.0,4,71.0,65,1773,19.0,71,toyota corolla 1200,4.174387269895637,0.0366610265087422,17.75,0.0107163000564015,False,True,False
35.0,4,72.0,69,1613,18.0,71,datsun 1200,4.23410650459726,0.0427774333539987,18.0,0.0111593304401735,False,True,False
27.0,4,97.0,60,1834,19.0,71,volkswagen model 111,4.0943445622221,0.0327153762268266,24.25,0.010359869138495,True,False,False
26.0,4,91.0,70,1955,20.5,71,plymouth cricket,4.248495242049359,0.0358056265984654,22.75,0.0104859335038363,False,False,True
24.0,4,113.0,95,2278,15.5,72,toyota corona hardtop,4.553876891600541,0.0417032484635645,28.25,0.0068042142230026,False,True,False
25.0,4,97.5,80,2126,17.0,72,dodge colt hardtop,4.382026634673881,0.037629350893697,24.375,0.0079962370649106,False,False,True
20.0,4,140.0,90,2408,19.5,72,chevrolet vega,4.499809670330265,0.037375415282392,35.0,0.0080980066445182,False,False,True
21.0,4,122.0,86,2226,16.5,72,ford pinto runabout,4.454347296253507,0.0386343216531895,30.5,0.0074123989218328,False,False,True
13.0,8,350.0,165,4274,12.0,72,chevrolet impala,5.10594547390058,0.0386055217594759,43.75,0.00280767430978,False,False,True
14.0,8,400.0,175,4385,12.0,72,pontiac catalina,5.1647859739235145,0.0399087799315849,50.0,0.0027366020524515,False,False,True
15.0,8,318.0,150,4135,13.5,72,plymouth fury iii,5.0106352940962555,0.0362756952841596,39.75,0.0032648125755743,False,False,True
14.0,8,351.0,153,4129,13.0,72,ford galaxie 500,5.030437921392435,0.0370549769920077,43.875,0.0031484620973601,False,False,True
17.0,8,304.0,150,3672,11.5,72,amc ambassador sst,5.0106352940962555,0.0408496732026143,38.0,0.0031318082788671,False,False,True
11.0,8,429.0,208,4633,11.0,72,mercury marquis,5.337538079701318,0.0448953162097992,53.625,0.0023742715303259,False,False,True
13.0,8,350.0,155,4502,13.5,72,buick lesabre custom,5.043425116919247,0.0344291426032874,43.75,0.002998667258996,False,False,True
12.0,8,350.0,160,4456,13.5,72,oldsmobile delta 88 royale,5.075173815233827,0.0359066427289048,43.75,0.0030296229802513,False,False,True
13.0,8,400.0,190,4422,12.5,72,chrysler newport royal,5.247024072160486,0.0429669832654907,50.0,0.0028267752148349,False,False,True
15.0,8,304.0,150,3892,12.5,72,amc matador (sw),5.0106352940962555,0.0385405960945529,38.0,0.0032117163412127,False,False,True
13.0,8,307.0,130,4098,14.0,72,chevrolet chevelle concours (sw),4.867534450455582,0.0317227916056613,38.375,0.0034163006344558,False,False,True
13.0,8,302.0,140,4294,16.0,72,ford gran torino (sw),4.941642422609304,0.0326036329762459,37.75,0.0037261294829995,False,False,True
14.0,8,318.0,150,4077,14.0,72,plymouth satellite custom (sw),5.0106352940962555,0.0367917586460632,39.75,0.0034338974736325,False,False,True
18.0,4,121.0,112,2933,14.5,72,volvo 145e (sw),4.718498871295094,0.0381861575178997,30.25,0.004943743607228,True,False,False
22.0,4,121.0,76,2511,18.0,72,volkswagen 411 (sw),4.330733340286331,0.0302668259657506,30.25,0.007168458781362,True,False,False
21.0,4,120.0,87,2979,19.5,72,peugeot 504 (sw),4.465908118654584,0.0292044310171198,30.0,0.0065458207452165,True,False,False
26.0,4,96.0,69,2189,18.0,72,renault 12 (sw),4.23410650459726,0.0315212425765189,24.0,0.0082229328460484,True,False,False
22.0,4,122.0,86,2395,16.0,72,ford pinto (sw),4.454347296253507,0.0359081419624217,30.5,0.0066805845511482,False,False,True
28.0,4,97.0,92,2288,17.0,72,datsun 510 (sw),4.5217885770490405,0.0402097902097902,24.25,0.0074300699300699,False,True,False
23.0,4,120.0,97,2506,14.5,72,toyouta corona mark ii (sw),4.574710978503383,0.038707102952913,30.0,0.0057861133280127,False,True,False
28.0,4,98.0,80,2164,15.0,72,dodge colt (sw),4.382026634673881,0.0369685767097966,24.5,0.0069316081330868,False,False,True
27.0,4,97.0,88,2100,16.5,72,toyota corolla 1600 (sw),4.477336814478207,0.0419047619047619,24.25,0.0078571428571428,False,True,False
13.0,8,350.0,175,4100,13.0,73,buick century 350,5.1647859739235145,0.0426829268292682,43.75,0.003170731707317,False,False,True
14.0,8,304.0,150,3672,11.5,73,amc matador,5.0106352940962555,0.0408496732026143,38.0,0.0031318082788671,False,False,True
13.0,8,350.0,145,3988,13.0,73,chevrolet malibu,4.976733742420574,0.036359077231695,43.75,0.003259779338014,False,False,True
14.0,8,302.0,137,4042,14.5,73,ford gran torino,4.919980925828125,0.0338941118258288,37.75,0.0035873330034636,False,False,True
15.0,8,318.0,150,3777,12.5,73,dodge coronet custom,5.0106352940962555,0.0397140587768069,39.75,0.0033095048980672,False,False,True
12.0,8,429.0,198,4952,11.5,73,mercury marquis brougham,5.288267030694535,0.039983844911147,53.625,0.0023222940226171,False,False,True
13.0,8,400.0,150,4464,12.0,73,chevrolet caprice classic,5.0106352940962555,0.0336021505376344,50.0,0.0026881720430107,False,False,True
13.0,8,351.0,158,4363,13.0,73,ford ltd,5.062595033026967,0.0362136144854457,43.875,0.0029796011918404,False,False,True
14.0,8,318.0,150,4237,14.5,73,plymouth fury gran sedan,5.0106352940962555,0.0354024073637007,39.75,0.0034222327118244,False,False,True
13.0,8,360.0,175,3821,11.0,73,amc ambassador brougham,5.1647859739235145,0.0457995289191311,45.0,0.0028788275320596,False,False,True
18.0,6,225.0,105,3121,16.5,73,plymouth valiant,4.653960350157523,0.0336430631207946,37.5,0.0052867670618391,False,False,True
16.0,6,250.0,100,3278,18.0,73,chevrolet nova custom,4.605170185988092,0.0305064063453325,41.666666666666664,0.0054911531421598,False,False,True
18.0,6,232.0,100,2945,16.0,73,amc hornet,4.605170185988092,0.0339558573853989,38.666666666666664,0.0054329371816638,False,False,True
18.0,6,250.0,88,3021,16.5,73,ford maverick,4.477336814478207,0.0291294273419397,41.666666666666664,0.0054617676266137,False,False,True
23.0,6,198.0,95,2904,16.0,73,plymouth duster,4.553876891600541,0.0327134986225895,33.0,0.0055096418732782,False,False,True
26.0,4,97.0,46,1950,21.0,73,volkswagen super beetle,3.828641396489095,0.0235897435897435,24.25,0.0107692307692307,True,False,False
11.0,8,400.0,150,4997,14.0,73,chevrolet impala,5.0106352940962555,0.0300180108064838,50.0,0.0028016810086051,False,False,True
12.0,8,400.0,167,4906,12.5,73,ford country,5.117993812416755,0.0340399510803098,50.0,0.0025479005299633,False,False,True
13.0,8,360.0,170,4654,13.0,73,plymouth custom suburb,5.135798437050262,0.0365277180919639,45.0,0.0027932960893854,False,False,True
12.0,8,350.0,180,4499,12.5,73,oldsmobile vista cruiser,5.19295685089021,0.0400088908646365,43.75,0.002778395198933,False,False,True
18.0,6,232.0,100,2789,15.0,73,amc gremlin,4.605170185988092,0.0358551452133381,38.666666666666664,0.0053782717820007,False,False,True
20.0,4,97.0,88,2279,19.0,73,toyota carina,4.477336814478207,0.038613426941641,24.25,0.0083369899078543,False,True,False
21.0,4,140.0,72,2401,19.5,73,chevrolet vega,4.276666119016055,0.029987505206164,35.0,0.0081216159933361,False,False,True
22.0,4,108.0,94,2379,16.5,73,datsun 610,4.543294782270004,0.0395124001681378,27.0,0.0069356872635561,False,True,False
19.0,4,122.0,85,2310,18.5,73,ford pinto,4.442651256490317,0.0367965367965368,30.5,0.008008658008658,False,False,True
21.0,6,155.0,107,2472,14.0,73,mercury capri v6,4.672828834461906,0.0432847896440129,25.833333333333332,0.0056634304207119,False,False,True
26.0,4,98.0,90,2265,15.5,73,fiat 124 sport coupe,4.499809670330265,0.0397350993377483,24.5,0.0068432671081677,True,False,False
15.0,8,350.0,145,4082,13.0,73,chevrolet monte carlo s,4.976733742420574,0.0355218030377266,43.75,0.0031847133757961,False,False,True
29.0,4,68.0,49,1867,19.5,73,fiat 128,3.8918202981106265,0.0262453133369041,17.0,0.0104445634708087,True,False,False
24.0,4,116.0,75,2158,15.5,73,opel manta,4.31748811353631,0.0347544022242817,29.0,0.0071825764596848,True,False,False
20.0,4,114.0,91,2582,14.0,73,audi 100ls,4.51085950651685,0.0352439969016266,28.5,0.005422153369481,True,False,False
19.0,4,121.0,112,2868,15.5,73,volvo 144ea,4.718498871295094,0.0390516039051603,30.25,0.0054044630404463,True,False,False
15.0,8,318.0,150,3399,11.0,73,dodge dart custom,5.0106352940962555,0.0441306266548985,39.75,0.0032362459546925,False,False,True
24.0,4,121.0,110,2660,14.0,73,saab 99le,4.700480365792417,0.0413533834586466,30.25,0.0052631578947368,True,False,False
20.0,6,156.0,122,2807,13.5,73,toyota mark ii,4.804021044733257,0.0434627716423227,26.0,0.0048094050587816,False,True,False
11.0,8,350.0,180,3664,11.0,73,oldsmobile omega,5.19295685089021,0.0491266375545851,43.75,0.0030021834061135,False,False,True
20.0,6,198.0,95,3102,16.5,74,plymouth duster,4.553876891600541,0.0306254029658284,33.0,0.0053191489361702,False,False,True
19.0,6,232.0,100,2901,16.0,74,amc hornet,4.605170185988092,0.0344708721130644,38.666666666666664,0.0055153395380903,False,False,True
15.0,6,250.0,100,3336,17.0,74,chevrolet nova,4.605170185988092,0.0299760191846522,41.666666666666664,0.0050959232613908,False,False,True
31.0,4,79.0,67,1950,19.0,74,datsun b210,4.204692619390966,0.0343589743589743,19.75,0.0097435897435897,False,True,False
26.0,4,122.0,80,2451,16.5,74,ford pinto,4.382026634673881,0.0326397388820889,30.5,0.0067319461444308,False,False,True
32.0,4,71.0,65,1836,21.0,74,toyota corolla 1200,4.174387269895637,0.0354030501089324,17.75,0.011437908496732,False,True,False
25.0,4,140.0,75,2542,17.0,74,chevrolet vega,4.31748811353631,0.0295043273013375,35.0,0.0066876475216365,False,False,True
16.0,6,250.0,100,3781,17.0,74,chevrolet chevelle malibu classic,4.605170185988092,0.0264480296217931,41.666666666666664,0.0044961650357048,False,False,True
16.0,6,258.0,110,3632,18.0,74,amc matador,4.700480365792417,0.0302863436123348,43.0,0.0049559471365638,False,False,True
18.0,6,225.0,105,3613,16.5,74,plymouth satellite sebring,4.653960350157523,0.0290617215610296,37.5,0.0045668419595903,False,False,True
16.0,8,302.0,140,4141,14.0,74,ford gran torino,4.941642422609304,0.0338082588746679,37.75,0.0033808258874667,False,False,True
13.0,8,350.0,150,4699,14.5,74,buick century luxus (sw),5.0106352940962555,0.0319216854649925,43.75,0.0030857629282826,False,False,True
14.0,8,318.0,150,4457,13.5,74,dodge coronet custom (sw),5.0106352940962555,0.0336549248373345,39.75,0.0030289432353601,False,False,True
14.0,8,302.0,140,4638,16.0,74,ford gran torino (sw),4.941642422609304,0.0301854247520482,37.75,0.0034497628288055,False,False,True
14.0,8,304.0,150,4257,15.5,74,amc matador (sw),5.0106352940962555,0.0352360817477096,38.0,0.0036410617805966,False,False,True
29.0,4,98.0,83,2219,16.5,74,audi fox,4.418840607796598,0.0374042361424064,24.5,0.0074357818837314,True,False,False
26.0,4,79.0,67,1963,15.5,74,volkswagen dasher,4.204692619390966,0.0341314314824248,19.75,0.0078960774325012,True,False,False
26.0,4,97.0,78,2300,14.5,74,opel manta,4.356708826689592,0.0339130434782608,24.25,0.0063043478260869,True,False,False
31.0,4,76.0,52,1649,16.5,74,toyota corona,3.951243718581427,0.031534263189812,19.0,0.0100060642813826,False,True,False
32.0,4,83.0,61,2003,19.0,74,datsun 710,4.110873864173311,0.0304543185222166,20.75,0.0094857713429855,False,True,False
28.0,4,90.0,75,2125,14.5,74,dodge colt,4.31748811353631,0.0352941176470588,22.5,0.0068235294117647,False,False,True
24.0,4,90.0,75,2108,15.5,74,fiat 128,4.31748811353631,0.0355787476280834,22.5,0.0073529411764705,True,False,False
26.0,4,116.0,75,2246,14.0,74,fiat 124 tc,4.31748811353631,0.0333926981300089,29.0,0.0062333036509349,True,False,False
24.0,4,120.0,97,2489,15.0,74,honda civic,4.574710978503383,0.038971474487746,30.0,0.0060265166733627,False,True,False
26.0,4,108.0,93,2391,15.5,74,subaru,4.532599493153256,0.0388958594730238,27.0,0.0064826432455039,False,True,False
31.0,4,79.0,67,2000,16.0,74,fiat x1.9,4.204692619390966,0.0335,19.75,0.008,True,False,False
19.0,6,225.0,95,3264,16.0,75,plymouth valiant custom,4.553876891600541,0.0291053921568627,37.5,0.0049019607843137,False,False,True
18.0,6,250.0,105,3459,16.0,75,chevrolet nova,4.653960350157523,0.0303555941023417,41.666666666666664,0.0046256143394044,False,False,True
15.0,6,250.0,72,3432,21.0,75,mercury monarch,4.276666119016055,0.0209790209790209,41.666666666666664,0.0061188811188811,False,False,True
15.0,6,250.0,72,3158,19.5,75,ford maverick,4.276666119016055,0.0227992400253324,41.666666666666664,0.0061747941735275,False,False,True
16.0,8,400.0,170,4668,11.5,75,pontiac catalina,5.135798437050262,0.0364181662382176,50.0,0.0024635818337617,False,False,True
15.0,8,350.0,145,4440,14.0,75,chevrolet bel air,4.976733742420574,0.0326576576576576,43.75,0.0031531531531531,False,False,True
16.0,8,318.0,150,4498,14.5,75,plymouth grand fury,5.0106352940962555,0.0333481547354379,39.75,0.003223654957759,False,False,True
14.0,8,351.0,148,4657,13.5,75,ford ltd,4.997212273764115,0.0317801159544771,43.875,0.00289886192828,False,False,True
17.0,6,231.0,110,3907,21.0,75,buick century,4.700480365792417,0.0281545943178909,38.5,0.0053749680061428,False,False,True
16.0,6,250.0,105,3897,18.5,75,chevroelt chevelle malibu,4.653960350157523,0.0269438029253271,41.666666666666664,0.0047472414677957,False,False,True
15.0,6,258.0,110,3730,19.0,75,amc matador,4.700480365792417,0.0294906166219839,43.0,0.0050938337801608,False,False,True
18.0,6,225.0,95,3785,19.0,75,plymouth fury,4.553876891600541,0.0250990752972258,37.5,0.0050198150594451,False,False,True
21.0,6,231.0,110,3039,15.0,75,buick skyhawk,4.700480365792417,0.0361961171437973,38.5,0.0049358341559723,False,False,True
20.0,8,262.0,110,3221,13.5,75,chevrolet monza 2+2,4.700480365792417,0.0341508848183793,32.75,0.0041912449549829,False,False,True
13.0,8,302.0,129,3169,12.0,75,ford mustang ii,4.859812404361672,0.0407068475859892,37.75,0.003786683496371,False,False,True
29.0,4,97.0,75,2171,16.0,75,toyota corolla,4.31748811353631,0.0345462920313219,24.25,0.0073698756333486,False,True,False
23.0,4,140.0,83,2639,17.0,75,ford pinto,4.418840607796598,0.0314513073133762,35.0,0.0064418340280409,False,False,True
20.0,6,232.0,100,2914,16.0,75,amc gremlin,4.605170185988092,0.0343170899107755,38.666666666666664,0.005490734385724,False,False,True
23.0,4,140.0,78,2592,18.5,75,pontiac astro,4.356708826689592,0.0300925925925925,35.0,0.0071373456790123,False,False,True
24.0,4,134.0,96,2702,13.5,75,toyota corona,4.564348191467836,0.0355292376017764,33.5,0.0049962990377498,False,True,False
25.0,4,90.0,71,2223,16.5,75,volkswagen dasher,4.2626798770413155,0.0319388214125056,22.5,0.0074224021592442,True,False,False
24.0,4,119.0,97,2545,17.0,75,datsun 710,4.574710978503383,0.0381139489194499,29.75,0.0066797642436149,False,True,False
18.0,6,171.0,97,2984,14.5,75,ford pinto,4.574710978503383,0.0325067024128686,28.5,0.0048592493297587,False,False,True
29.0,4,90.0,70,1937,14.0,75,volkswagen rabbit,4.248495242049359,0.0361383582860092,22.5,0.0072276716572018,True,False,False
19.0,6,232.0,90,3211,17.0,75,amc pacer,4.499809670330265,0.0280286515104328,38.666666666666664,0.0052943008408595,False,False,True
23.0,4,115.0,95,2694,15.0,75,audi 100ls,4.553876891600541,0.0352635486265775,28.75,0.0055679287305122,True,False,False
23.0,4,120.0,88,2957,17.0,75,peugeot 504,4.477336814478207,0.0297598917822117,30.0,0.0057490700033818,True,False,False
22.0,4,121.0,98,2945,14.5,75,volvo 244dl,4.584967478670572,0.033276740237691,30.25,0.0049235993208828,True,False,False
25.0,4,121.0,115,2671,13.5,75,saab 99le,4.74493212836325,0.0430550355672033,30.25,0.005054286783976,True,False,False
33.0,4,91.0,53,1795,17.5,75,honda civic cvcc,3.970291913552122,0.0295264623955431,22.75,0.0097493036211699,False,True,False
28.0,4,107.0,86,2464,15.5,76,fiat 131,4.454347296253507,0.0349025974025974,26.75,0.0062905844155844,True,False,False
25.0,4,116.0,81,2220,16.9,76,opel 1900,4.394449154672439,0.0364864864864864,29.0,0.0076126126126126,True,False,False
25.0,4,140.0,92,2572,14.9,76,capri ii,4.5217885770490405,0.0357698289269051,35.0,0.0057931570762052,False,False,True
26.0,4,98.0,79,2255,17.7,76,dodge colt,4.3694478524670215,0.0350332594235033,24.5,0.0078492239467849,False,False,True
27.0,4,101.0,83,2202,15.3,76,renault 12tl,4.418840607796598,0.0376930063578564,25.25,0.0069482288828337,True,False,False
17.5,8,305.0,140,4215,13.0,76,chevrolet chevelle malibu classic,4.941642422609304,0.033214709371293,38.125,0.0030842230130486,False,False,True
16.0,8,318.0,150,4190,13.0,76,dodge coronet brougham,5.0106352940962555,0.035799522673031,39.75,0.0031026252983293,False,False,True
15.5,8,304.0,120,3962,13.9,76,amc matador,4.787491742782046,0.0302877334679454,38.0,0.0035083291267036,False,False,True
14.5,8,351.0,152,4215,12.8,76,ford gran torino,5.0238805208462765,0.0360616844602609,43.875,0.0030367734282325,False,False,True
22.0,6,225.0,100,3233,15.4,76,plymouth valiant,4.605170185988092,0.0309310238168883,37.5,0.0047633776678008,False,False,True
22.0,6,250.0,105,3353,14.5,76,chevrolet nova,4.653960350157523,0.0313152400835073,41.666666666666664,0.0043244855353414,False,False,True
24.0,6,200.0,81,3012,17.6,76,ford maverick,4.394449154672439,0.0268924302788844,33.333333333333336,0.0058432934926958,False,False,True
22.5,6,232.0,90,3085,17.6,76,amc hornet,4.499809670330265,0.0291734197730956,38.666666666666664,0.0057050243111831,False,False,True
29.0,4,90.0,70,1937,14.2,76,vw rabbit,4.248495242049359,0.0361383582860092,22.5,0.0073309241094475,True,False,False
33.0,4,91.0,53,1795,17.4,76,honda civic,3.970291913552122,0.0295264623955431,22.75,0.0096935933147632,False,True,False
20.0,6,225.0,100,3651,17.7,76,dodge aspen se,4.605170185988092,0.0273897562311695,37.5,0.004847986852917,False,False,True
18.0,6,250.0,78,3574,21.0,76,ford granada ghia,4.356708826689592,0.0218242865137101,41.666666666666664,0.0058757694459988,False,False,True
