mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,horsepower_log
17.5,6,258.0,95,3193,17.8,76,1,amc pacer d/l,4.553876891600541
29.5,4,97.0,71,1825,12.2,76,2,volkswagen rabbit,4.2626798770413155
32.0,4,85.0,70,1990,17.0,76,3,datsun b-210,4.248495242049359
28.0,4,97.0,75,2155,16.4,76,3,toyota corolla,4.31748811353631
26.5,4,140.0,72,2565,13.6,76,1,ford pinto,4.276666119016055
20.0,4,130.0,102,3150,15.7,76,2,volvo 245,4.624972813284271
13.0,8,318.0,150,3940,13.2,76,1,plymouth volare premier v8,5.0106352940962555
19.0,4,120.0,88,3270,21.9,76,2,peugeot 504,4.477336814478207
19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,4.68213122712422
16.5,6,168.0,120,3820,16.7,76,2,mercedes-benz 280s,4.787491742782046
16.5,8,350.0,180,4380,12.1,76,1,cadillac seville,5.19295685089021
13.0,8,350.0,145,4055,12.0,76,1,chevy c10,4.976733742420574
13.0,8,302.0,130,3870,15.0,76,1,ford f108,4.867534450455582
13.0,8,318.0,150,3755,14.0,76,1,dodge d100,5.0106352940962555
31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc,4.219507705176107
30.0,4,111.0,80,2155,14.8,77,1,buick opel isuzu deluxe,4.382026634673881
36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,4.060443010546419
25.5,4,122.0,96,2300,15.5,77,1,plymouth arrow gs,4.564348191467836
33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback,4.248495242049359
17.5,8,305.0,145,3880,12.5,77,1,chevrolet caprice classic,4.976733742420574
17.0,8,260.0,110,4060,19.0,77,1,oldsmobile cutlass supreme,4.700480365792417
15.5,8,318.0,145,4140,13.7,77,1,dodge monaco brougham,4.976733742420574
15.0,8,302.0,130,4295,14.9,77,1,mercury cougar brougham,4.867534450455582
17.5,6,250.0,110,3520,16.4,77,1,chevrolet concours,4.700480365792417
20.5,6,231.0,105,3425,16.9,77,1,buick skylark,4.653960350157523
19.0,6,225.0,100,3630,17.7,77,1,plymouth volare custom,4.605170185988092
18.5,6,250.0,98,3525,19.0,77,1,ford granada,4.584967478670572
16.0,8,400.0,180,4220,11.1,77,1,pontiac grand prix lj,5.19295685089021
15.5,8,350.0,170,4165,11.4,77,1,chevrolet monte carlo landau,5.135798437050262
15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,5.247024072160486
16.0,8,351.0,149,4335,14.5,77,1,ford thunderbird,5.003946305945459
29.0,4,97.0,78,1940,14.5,77,2,volkswagen rabbit custom,4.356708826689592
24.5,4,151.0,88,2740,16.0,77,1,pontiac sunbird coupe,4.477336814478207
26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback,4.31748811353631
25.5,4,140.0,89,2755,15.8,77,1,ford mustang ii 2+2,4.48863636973214
30.5,4,98.0,63,2051,17.0,77,1,chevrolet chevette,4.143134726391533
33.5,4,98.0,83,2075,15.9,77,1,dodge colt m/m,4.418840607796598
30.0,4,97.0,67,1985,16.4,77,3,subaru dl,4.204692619390966
30.5,4,97.0,78,2190,14.1,77,2,volkswagen dasher,4.356708826689592
22.0,6,146.0,97,2815,14.5,77,3,datsun 810,4.574710978503383
21.5,4,121.0,110,2600,12.8,77,2,bmw 320i,4.700480365792417
43.1,4,90.0,48,1985,21.5,78,2,volkswagen rabbit custom diesel,3.871201010907891
36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,4.189654742026425
32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,3.9512437185814275
39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx,4.248495242049359
36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,4.0943445622221
19.9,8,260.0,110,3365,15.5,78,1,oldsmobile cutlass salon brougham,4.700480365792417
19.4,8,318.0,140,3735,13.2,78,1,dodge diplomat,4.941642422609304
20.2,8,302.0,139,3570,12.8,78,1,mercury monarch ghia,4.9344739331306915
19.2,6,231.0,105,3535,19.2,78,1,pontiac phoenix lj,4.653960350157523
20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,4.553876891600541
20.2,6,200.0,85,2965,15.8,78,1,ford fairmont (auto),4.442651256490317
25.1,4,140.0,88,2720,15.4,78,1,ford fairmont (man),4.477336814478207
20.5,6,225.0,100,3430,17.2,78,1,plymouth volare,4.605170185988092
19.4,6,232.0,90,3210,17.2,78,1,amc concord,4.499809670330265
20.6,6,231.0,105,3380,15.8,78,1,buick century special,4.653960350157523
20.8,6,200.0,85,3070,16.7,78,1,mercury zephyr,4.442651256490317
18.6,6,225.0,110,3620,18.7,78,1,dodge aspen,4.700480365792417
18.1,6,258.0,120,3410,15.1,78,1,amc concord d/l,4.787491742782046
19.2,8,305.0,145,3425,13.2,78,1,chevrolet monte carlo landau,4.976733742420574
17.7,6,231.0,165,3445,13.4,78,1,buick regal sport coupe (turbo),5.10594547390058
18.1,8,302.0,139,3205,11.2,78,1,ford futura,4.9344739331306915
17.5,8,318.0,140,4080,13.7,78,1,dodge magnum xe,4.941642422609304
30.0,4,98.0,68,2155,16.5,78,1,chevrolet chevette,4.219507705176107
27.5,4,134.0,95,2560,14.2,78,3,toyota corona,4.553876891600541
27.2,4,119.0,97,2300,14.7,78,3,datsun 510,4.574710978503383
30.9,4,105.0,75,2230,14.5,78,1,dodge omni,4.31748811353631
21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback,4.553876891600541
23.2,4,156.0,105,2745,16.7,78,1,plymouth sapporo,4.653960350157523
23.8,4,151.0,85,2855,17.6,78,1,oldsmobile starfire sx,4.442651256490317
23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx,4.574710978503383
20.3,5,131.0,103,2830,15.9,78,2,audi 5000,4.634728988229636
17.0,6,163.0,125,3140,13.6,78,2,volvo 264gl,4.8283137373023015
21.6,4,121.0,115,2795,15.7,78,2,saab 99gle,4.74493212836325
16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,4.890349128221754
31.5,4,89.0,71,1990,14.9,78,2,volkswagen scirocco,4.2626798770413155
29.5,4,98.0,68,2135,16.6,78,3,honda accord lx,4.219507705176107
21.5,6,231.0,115,3245,15.4,79,1,pontiac lemans v6,4.74493212836325
19.8,6,200.0,85,2990,18.2,79,1,mercury zephyr 6,4.442651256490317
22.3,4,140.0,88,2890,17.3,79,1,ford fairmont 4,4.477336814478207
20.2,6,232.0,90,3265,18.2,79,1,amc concord dl 6,4.499809670330265
20.6,6,225.0,110,3360,16.6,79,1,dodge aspen 6,4.700480365792417
17.0,8,305.0,130,3840,15.4,79,1,chevrolet caprice classic,4.867534450455582
17.6,8,302.0,129,3725,13.4,79,1,ford ltd landau,4.859812404361672
16.5,8,351.0,138,3955,13.2,79,1,mercury grand marquis,4.927253685157205
18.2,8,318.0,135,3830,15.2,79,1,dodge st. regis,4.90527477843843
16.9,8,350.0,155,4360,14.9,79,1,buick estate wagon (sw),5.043425116919247
15.5,8,351.0,142,4054,14.3,79,1,ford country squire (sw),4.955827057601261
19.2,8,267.0,125,3605,15.0,79,1,chevrolet malibu classic (sw),4.8283137373023015
18.5,8,360.0,150,3940,13.0,79,1,chrysler lebaron town @ country (sw),5.0106352940962555
31.9,4,89.0,71,1925,14.0,79,2,vw rabbit custom,4.2626798770413155
34.1,4,86.0,65,1975,15.2,79,3,maxda glc deluxe,4.174387269895637
35.7,4,98.0,80,1915,14.4,79,1,dodge colt hatchback custom,4.382026634673881
27.4,4,121.0,80,2670,15.0,79,1,amc spirit dl,4.382026634673881
25.4,5,183.0,77,3530,20.1,79,2,mercedes benz 300d,4.343805421853684
23.0,8,350.0,125,3900,17.4,79,1,cadillac eldorado,4.8283137373023015
34.2,4,105.0,70,2200,13.2,79,1,plymouth horizon,4.248495242049359
34.5,4,105.0,70,2150,14.9,79,1,plymouth horizon tc3,4.248495242049359
31.8,4,85.0,65,2020,19.2,79,3,datsun 210,4.174387269895637
37.3,4,91.0,69,2130,14.7,79,2,fiat strada custom,4.23410650459726
28.4,4,151.0,90,2670,16.0,79,1,buick skylark limited,4.499809670330265
28.8,6,173.0,115,2595,11.3,79,1,chevrolet citation,4.74493212836325
26.8,6,173.0,115,2700,12.9,79,1,oldsmobile omega brougham,4.74493212836325
33.5,4,151.0,90,2556,13.2,79,1,pontiac phoenix,4.499809670330265
41.5,4,98.0,76,2144,14.7,80,2,vw rabbit,4.330733340286331
38.1,4,89.0,60,1968,18.8,80,3,toyota corolla tercel,4.0943445622221
32.1,4,98.0,70,2120,15.5,80,1,chevrolet chevette,4.248495242049359
37.2,4,86.0,65,2019,16.4,80,3,datsun 310,4.174387269895637
28.0,4,151.0,90,2678,16.5,80,1,chevrolet citation,4.499809670330265
26.4,4,140.0,88,2870,18.1,80,1,ford fairmont,4.477336814478207
24.3,4,151.0,90,3003,20.1,80,1,amc concord,4.499809670330265
19.1,6,225.0,90,3381,18.7,80,1,dodge aspen,4.499809670330265
34.3,4,97.0,78,2188,15.8,80,2,audi 4000,4.356708826689592
29.8,4,134.0,90,2711,15.5,80,3,toyota corona liftback,4.499809670330265
31.3,4,120.0,75,2542,17.5,80,3,mazda 626,4.31748811353631
37.0,4,119.0,92,2434,15.0,80,3,datsun 510 hatchback,4.5217885770490405
32.2,4,108.0,75,2265,15.2,80,3,toyota corolla,4.31748811353631
46.6,4,86.0,65,2110,17.9,80,3,mazda glc,4.174387269895637
27.9,4,156.0,105,2800,14.4,80,1,dodge colt,4.653960350157523
40.8,4,85.0,65,2110,19.2,80,3,datsun 210,4.174387269895637
44.3,4,90.0,48,2085,21.7,80,2,vw rabbit c (diesel),3.871201010907891
36.4,5,121.0,67,2950,19.9,80,2,audi 5000s (diesel),4.204692619390966
30.0,4,146.0,67,3250,21.8,80,2,mercedes-benz 240d,4.204692619390966
44.6,4,91.0,67,1850,13.8,80,3,honda civic 1500 gl,4.204692619390966
33.8,4,97.0,67,2145,18.0,80,3,subaru dl,4.204692619390966
29.8,4,89.0,62,1845,15.3,80,2,vokswagen rabbit,4.127134385045092
32.7,6,168.0,132,2910,11.4,80,3,datsun 280-zx,4.882801922586371
35.0,4,122.0,88,2500,15.1,80,2,triumph tr7 coupe,4.477336814478207
32.4,4,107.0,72,2290,17.0,80,3,honda accord,4.276666119016055
27.2,4,135.0,84,2490,15.7,81,1,plymouth reliant,4.430816798843313
26.6,4,151.0,84,2635,16.4,81,1,buick skylark,4.430816798843313
25.8,4,156.0,92,2620,14.4,81,1,dodge aries wagon (sw),4.5217885770490405
23.5,6,173.0,110,2725,12.6,81,1,chevrolet citation,4.700480365792417
30.0,4,135.0,84,2385,12.9,81,1,plymouth reliant,4.430816798843313
39.1,4,79.0,58,1755,16.9,81,3,toyota starlet,4.060443010546419
39.0,4,86.0,64,1875,16.4,81,1,plymouth champ,4.1588830833596715
35.1,4,81.0,60,1760,16.1,81,3,honda civic 1300,4.0943445622221
32.3,4,97.0,67,2065,17.8,81,3,subaru,4.204692619390966
37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg,4.174387269895637
37.7,4,89.0,62,2050,17.3,81,3,toyota tercel,4.127134385045092
34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4,4.219507705176107
34.7,4,105.0,63,2215,14.9,81,1,plymouth horizon 4,4.143134726391533
34.4,4,98.0,65,2045,16.2,81,1,ford escort 4w,4.174387269895637
29.9,4,98.0,65,2380,20.7,81,1,ford escort 2h,4.174387269895637
33.0,4,105.0,74,2190,14.2,81,2,volkswagen jetta,4.30406509320417
33.7,4,107.0,75,2210,14.4,81,3,honda prelude,4.31748811353631
32.4,4,108.0,75,2350,16.8,81,3,toyota corolla,4.31748811353631
32.9,4,119.0,100,2615,14.8,81,3,datsun 200sx,4.605170185988092
31.6,4,120.0,74,2635,18.3,81,3,mazda 626,4.30406509320417
28.1,4,141.0,80,3230,20.4,81,2,peugeot 505s turbo diesel,4.382026634673881
30.7,6,145.0,76,3160,19.6,81,2,volvo diesel,4.330733340286331
25.4,6,168.0,116,2900,12.6,81,3,toyota cressida,4.7535901911063645
24.2,6,146.0,120,2930,13.8,81,3,datsun 810 maxima,4.787491742782046
22.4,6,231.0,110,3415,15.8,81,1,buick century,4.700480365792417
26.6,8,350.0,105,3725,19.0,81,1,oldsmobile cutlass ls,4.653960350157523
20.2,6,200.0,88,3060,17.1,81,1,ford granada gl,4.477336814478207
17.6,6,225.0,85,3465,16.6,81,1,chrysler lebaron salon,4.442651256490317
28.0,4,112.0,88,2605,19.6,82,1,chevrolet cavalier,4.477336814478207
27.0,4,112.0,88,2640,18.6,82,1,chevrolet cavalier wagon,4.477336814478207
34.0,4,112.0,88,2395,18.0,82,1,chevrolet cavalier 2-door,4.477336814478207
31.0,4,112.0,85,2575,16.2,82,1,pontiac j2000 se hatchback,4.442651256490317
29.0,4,135.0,84,2525,16.0,82,1,dodge aries se,4.430816798843313
27.0,4,151.0,90,2735,18.0,82,1,pontiac phoenix,4.499809670330265
24.0,4,140.0,92,2865,16.4,82,1,ford fairmont futura,4.5217885770490405
36.0,4,105.0,74,1980,15.3,82,2,volkswagen rabbit l,4.30406509320417
37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,4.219507705176107
31.0,4,91.0,68,1970,17.6,82,3,mazda glc custom,4.219507705176107
38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,4.143134726391533
36.0,4,98.0,70,2125,17.3,82,1,mercury lynx l,4.248495242049359
36.0,4,120.0,88,2160,14.5,82,3,nissan stanza xe,4.477336814478207
36.0,4,107.0,75,2205,14.5,82,3,honda accord,4.31748811353631
34.0,4,108.0,70,2245,16.9,82,3,toyota corolla,4.248495242049359
38.0,4,91.0,67,1965,15.0,82,3,honda civic,4.204692619390966
32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),4.204692619390966
38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx,4.204692619390966
25.0,6,181.0,110,2945,16.4,82,1,buick century limited,4.700480365792417
38.0,6,262.0,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),4.442651256490317
26.0,4,156.0,92,2585,14.5,82,1,chrysler lebaron medallion,4.5217885770490405
22.0,6,232.0,112,2835,14.7,82,1,ford granada l,4.718498871295094
32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt,4.564348191467836
36.0,4,135.0,84,2370,13.0,82,1,dodge charger 2.2,4.430816798843313
27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,4.499809670330265
27.0,4,140.0,86,2790,15.6,82,1,ford mustang gl,4.454347296253507
32.0,4,135.0,84,2295,11.6,82,1,dodge rampage,4.430816798843313
28.0,4,120.0,79,2625,18.6,82,1,ford ranger,4.3694478524670215
31.0,4,119.0,82,2720,19.4,82,1,chevy s-10,4.406719247264253
