mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,horsepower_log,power_to_weight,displacement_per_cyl,acceleration_per_weight
18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,4.867534450455582,0.037100456621004564,38.375,0.003424657534246575
15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,5.10594547390058,0.04467912266450041,43.75,0.003113999458434877
18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,5.0106352940962555,0.043655413271245634,39.75,0.0032013969732246797
16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,5.0106352940962555,0.043693562481794346,38.0,0.003495484998543548
17.0,8,302.0,140,3449,10.5,70,1,ford torino,4.941642422609304,0.04059147579008408,37.75,0.003044360684256306
15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,5.288267030694535,0.04561161022805805,53.625,0.00230361667818475
15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,5.135798437050262,0.04771260174010665,47.875,0.0028066236317709796
15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,5.0106352940962555,0.03988300983780909,50.0,0.0025259239563945757
24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,4.553876891600541,0.04005059021922428,28.25,0.006323777403035413
22.0,6,198.0,95,2833,15.5,70,1,plymouth duster,4.553876891600541,0.03353335686551359,33.0,0.005471231909636428
18.0,6,199.0,97,2774,15.5,70,1,amc hornet,4.574710978503383,0.034967555875991346,33.166666666666664,0.0055875991348233595
21.0,6,200.0,85,2587,16.0,70,1,ford maverick,4.442651256490317,0.032856590645535366,33.333333333333336,0.006184770003865481
27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,4.477336814478207,0.04131455399061033,24.25,0.006807511737089202
26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,3.828641396489095,0.025068119891008173,24.25,0.0111716621253406
25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,4.465908118654584,0.03255988023952096,27.5,0.00654940119760479
24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,4.499809670330265,0.037037037037037035,26.75,0.005967078189300412
25.0,4,104.0,95,2375,17.5,70,2,saab 99e,4.553876891600541,0.04,26.0,0.007368421052631579
26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,4.727387818712341,0.050581915846016116,30.25,0.005595344673231871
21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,4.499809670330265,0.033987915407854986,33.166666666666664,0.0056646525679758305
10.0,8,307.0,200,4376,15.0,70,1,chevy c20,5.298317366548036,0.04570383912248629,38.375,0.0034277879341864715
11.0,8,318.0,210,4382,13.5,70,1,dodge d200,5.3471075307174685,0.04792332268370607,39.75,0.003080785029666819
9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,5.262690188904886,0.04078613693998309,38.0,0.003909551986475064
27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,4.477336814478207,0.04131455399061033,24.25,0.006807511737089202
28.0,4,140.0,90,2264,15.5,71,1,chevrolet vega 2300,4.499809670330265,0.03975265017667844,35.0,0.006846289752650177
25.0,4,113.0,95,2228,14.0,71,3,toyota corona,4.553876891600541,0.042639138240574505,28.25,0.0062836624775583485
19.0,6,232.0,100,2634,13.0,71,1,amc gremlin,4.605170185988092,0.037965072133637055,38.666666666666664,0.004935459377372817
16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,4.653960350157523,0.030532131433556268,37.5,0.004507124164001163
17.0,6,250.0,100,3329,15.5,71,1,chevrolet chevelle malibu,4.605170185988092,0.030039050765995796,41.666666666666664,0.004656052868729348
19.0,6,250.0,88,3302,15.5,71,1,ford torino 500,4.477336814478207,0.026650514839491216,41.666666666666664,0.00469412477286493
18.0,6,232.0,100,3288,15.5,71,1,amc matador,4.605170185988092,0.030413625304136254,38.666666666666664,0.0047141119221411195
14.0,8,350.0,165,4209,12.0,71,1,chevrolet impala,5.10594547390058,0.039201710620099785,43.75,0.002851033499643621
14.0,8,400.0,175,4464,11.5,71,1,pontiac catalina brougham,5.1647859739235145,0.03920250896057348,50.0,0.0025761648745519714
14.0,8,351.0,153,4154,13.5,71,1,ford galaxie 500,5.030437921392435,0.03683196918632643,43.875,0.0032498796340876264
14.0,8,318.0,150,4096,13.0,71,1,plymouth fury iii,5.0106352940962555,0.03662109375,39.75,0.003173828125
12.0,8,383.0,180,4955,11.5,71,1,dodge monaco (sw),5.19295685089021,0.03632694248234107,47.875,0.002320887991927346
13.0,8,400.0,170,4746,12.0,71,1,ford country squire (sw),5.135798437050262,0.03581963758954909,50.0,0.0025284450063211127
13.0,8,400.0,175,5140,12.0,71,1,pontiac safari (sw),5.1647859739235145,0.03404669260700389,50.0,0.0023346303501945525
18.0,6,258.0,110,2962,13.5,71,1,amc hornet sportabout (sw),4.700480365792417,0.03713706954760297,43.0,0.004557731262660365
22.0,4,140.0,72,2408,19.0,71,1,chevrolet vega (sw),4.276666119016055,0.029900332225913623,35.0,0.007890365448504983
19.0,6,250.0,100,3282,15.0,71,1,pontiac firebird,4.605170185988092,0.030469226081657527,41.666666666666664,0.004570383912248629
18.0,6,250.0,88,3139,14.5,71,1,ford mustang,4.477336814478207,0.028034405861739407,41.666666666666664,0.004619305511309334
23.0,4,122.0,86,2220,14.0,71,1,mercury capri 2000,4.454347296253507,0.03873873873873874,30.5,0.006306306306306306
28.0,4,116.0,90,2123,14.0,71,2,opel 1900,4.499809670330265,0.04239284032030146,29.0,0.00659444182760245
30.0,4,79.0,70,2074,19.5,71,2,peugeot 304,4.248495242049359,0.033751205400192864,19.75,0.009402121504339441
30.0,4,88.0,76,2065,14.5,71,2,fiat 124b,4.330733340286331,0.036803874092009685,22.0,0.0070217917675544795
31.0,4,71.0,65,1773,19.0,71,3,toyota corolla 1200,4.174387269895637,0.03666102650874224,17.75,0.01071630005640158
35.0,4,72.0,69,1613,18.0,71,3,datsun 1200,4.23410650459726,0.04277743335399876,18.0,0.011159330440173589
27.0,4,97.0,60,1834,19.0,71,2,volkswagen model 111,4.0943445622221,0.03271537622682661,24.25,0.010359869138495093
26.0,4,91.0,70,1955,20.5,71,1,plymouth cricket,4.248495242049359,0.03580562659846547,22.75,0.010485933503836318
24.0,4,113.0,95,2278,15.5,72,3,toyota corona hardtop,4.553876891600541,0.04170324846356453,28.25,0.006804214223002634
25.0,4,97.5,80,2126,17.0,72,1,dodge colt hardtop,4.382026634673881,0.03762935089369708,24.375,0.00799623706491063
20.0,4,140.0,90,2408,19.5,72,1,chevrolet vega,4.499809670330265,0.03737541528239203,35.0,0.008098006644518272
21.0,4,122.0,86,2226,16.5,72,1,ford pinto runabout,4.454347296253507,0.03863432165318958,30.5,0.007412398921832884
13.0,8,350.0,165,4274,12.0,72,1,chevrolet impala,5.10594547390058,0.0386055217594759,43.75,0.0028076743097800653
14.0,8,400.0,175,4385,12.0,72,1,pontiac catalina,5.1647859739235145,0.039908779931584946,50.0,0.0027366020524515395
15.0,8,318.0,150,4135,13.5,72,1,plymouth fury iii,5.0106352940962555,0.036275695284159616,39.75,0.0032648125755743653
14.0,8,351.0,153,4129,13.0,72,1,ford galaxie 500,5.030437921392435,0.03705497699200775,43.875,0.0031484620973601355
17.0,8,304.0,150,3672,11.5,72,1,amc ambassador sst,5.0106352940962555,0.04084967320261438,38.0,0.0031318082788671024
11.0,8,429.0,208,4633,11.0,72,1,mercury marquis,5.337538079701318,0.044895316209799266,53.625,0.0023742715303259228
13.0,8,350.0,155,4502,13.5,72,1,buick lesabre custom,5.043425116919247,0.03442914260328743,43.75,0.0029986672589960017
12.0,8,350.0,160,4456,13.5,72,1,oldsmobile delta 88 royale,5.075173815233827,0.03590664272890485,43.75,0.0030296229802513463
13.0,8,400.0,190,4422,12.5,72,1,chrysler newport royal,5.247024072160486,0.04296698326549073,50.0,0.0028267752148349165
15.0,8,304.0,150,3892,12.5,72,1,amc matador (sw),5.0106352940962555,0.03854059609455293,38.0,0.003211716341212744
13.0,8,307.0,130,4098,14.0,72,1,chevrolet chevelle concours (sw),4.867534450455582,0.0317227916056613,38.375,0.003416300634455832
13.0,8,302.0,140,4294,16.0,72,1,ford gran torino (sw),4.941642422609304,0.032603632976245925,37.75,0.0037261294829995344
14.0,8,318.0,150,4077,14.0,72,1,plymouth satellite custom (sw),5.0106352940962555,0.03679175864606328,39.75,0.003433897473632573
18.0,4,121.0,112,2933,14.5,72,2,volvo 145e (sw),4.718498871295094,0.03818615751789976,30.25,0.004943743607228094
22.0,4,121.0,76,2511,18.0,72,2,volkswagen 411 (sw),4.330733340286331,0.030266825965750695,30.25,0.007168458781362007
21.0,4,120.0,87,2979,19.5,72,2,peugeot 504 (sw),4.465908118654584,0.02920443101711984,30.0,0.006545820745216516
26.0,4,96.0,69,2189,18.0,72,2,renault 12 (sw),4.23410650459726,0.031521242576518956,24.0,0.008222932846048425
22.0,4,122.0,86,2395,16.0,72,1,ford pinto (sw),4.454347296253507,0.03590814196242171,30.5,0.006680584551148226
28.0,4,97.0,92,2288,17.0,72,3,datsun 510 (sw),4.5217885770490405,0.04020979020979021,24.25,0.00743006993006993
23.0,4,120.0,97,2506,14.5,72,3,toyouta corona mark ii (sw),4.574710978503383,0.038707102952913006,30.0,0.00578611332801277
28.0,4,98.0,80,2164,15.0,72,1,dodge colt (sw),4.382026634673881,0.036968576709796676,24.5,0.006931608133086876
27.0,4,97.0,88,2100,16.5,72,3,toyota corolla 1600 (sw),4.477336814478207,0.0419047619047619,24.25,0.007857142857142858
13.0,8,350.0,175,4100,13.0,73,1,buick century 350,5.1647859739235145,0.042682926829268296,43.75,0.0031707317073170734
14.0,8,304.0,150,3672,11.5,73,1,amc matador,5.0106352940962555,0.04084967320261438,38.0,0.0031318082788671024
13.0,8,350.0,145,3988,13.0,73,1,chevrolet malibu,4.976733742420574,0.03635907723169508,43.75,0.003259779338014042
14.0,8,302.0,137,4042,14.5,73,1,ford gran torino,4.919980925828125,0.0338941118258288,37.75,0.003587333003463632
15.0,8,318.0,150,3777,12.5,73,1,dodge coronet custom,5.0106352940962555,0.03971405877680699,39.75,0.003309504898067249
12.0,8,429.0,198,4952,11.5,73,1,mercury marquis brougham,5.288267030694535,0.03998384491114701,53.625,0.0023222940226171242
13.0,8,400.0,150,4464,12.0,73,1,chevrolet caprice classic,5.0106352940962555,0.033602150537634407,50.0,0.002688172043010753
13.0,8,351.0,158,4363,13.0,73,1,ford ltd,5.062595033026967,0.03621361448544579,43.875,0.002979601191840477
14.0,8,318.0,150,4237,14.5,73,1,plymouth fury gran sedan,5.0106352940962555,0.03540240736370073,39.75,0.003422232711824404
13.0,8,360.0,175,3821,11.0,73,1,amc ambassador brougham,5.1647859739235145,0.04579952891913112,45.0,0.0028788275320596702
18.0,6,225.0,105,3121,16.5,73,1,plymouth valiant,4.653960350157523,0.03364306312079462,37.5,0.005286767061839154
16.0,6,250.0,100,3278,18.0,73,1,chevrolet nova custom,4.605170185988092,0.03050640634533252,41.666666666666664,0.005491153142159854
18.0,6,232.0,100,2945,16.0,73,1,amc hornet,4.605170185988092,0.03395585738539898,38.666666666666664,0.005432937181663837
18.0,6,250.0,88,3021,16.5,73,1,ford maverick,4.477336814478207,0.029129427341939754,41.666666666666664,0.005461767626613704
23.0,6,198.0,95,2904,16.0,73,1,plymouth duster,4.553876891600541,0.03271349862258953,33.0,0.005509641873278237
26.0,4,97.0,46,1950,21.0,73,2,volkswagen super beetle,3.828641396489095,0.02358974358974359,24.25,0.010769230769230769
11.0,8,400.0,150,4997,14.0,73,1,chevrolet impala,5.0106352940962555,0.03001801080648389,50.0,0.002801681008605163
12.0,8,400.0,167,4906,12.5,73,1,ford country,5.117993812416755,0.03403995108030983,50.0,0.0025479005299633103
13.0,8,360.0,170,4654,13.0,73,1,plymouth custom suburb,5.135798437050262,0.0365277180919639,45.0,0.002793296089385475
12.0,8,350.0,180,4499,12.5,73,1,oldsmobile vista cruiser,5.19295685089021,0.04000889086463658,43.75,0.002778395198933096
18.0,6,232.0,100,2789,15.0,73,1,amc gremlin,4.605170185988092,0.035855145213338116,38.666666666666664,0.005378271782000717
20.0,4,97.0,88,2279,19.0,73,3,toyota carina,4.477336814478207,0.03861342694164107,24.25,0.008336989907854322
21.0,4,140.0,72,2401,19.5,73,1,chevrolet vega,4.276666119016055,0.029987505206164097,35.0,0.00812161599333611
22.0,4,108.0,94,2379,16.5,73,3,datsun 610,4.543294782270004,0.039512400168137875,27.0,0.0069356872635561164
19.0,4,122.0,85,2310,18.5,73,1,ford pinto,4.442651256490317,0.0367965367965368,30.5,0.008008658008658008
21.0,6,155.0,107,2472,14.0,73,1,mercury capri v6,4.672828834461906,0.043284789644012944,25.833333333333332,0.0056634304207119745
26.0,4,98.0,90,2265,15.5,73,2,fiat 124 sport coupe,4.499809670330265,0.039735099337748346,24.5,0.006843267108167771
15.0,8,350.0,145,4082,13.0,73,1,chevrolet monte carlo s,4.976733742420574,0.035521803037726604,43.75,0.0031847133757961785
29.0,4,68.0,49,1867,19.5,73,2,fiat 128,3.8918202981106265,0.026245313336904125,17.0,0.010444563470808785
24.0,4,116.0,75,2158,15.5,73,2,opel manta,4.31748811353631,0.03475440222428174,29.0,0.007182576459684893
20.0,4,114.0,91,2582,14.0,73,2,audi 100ls,4.51085950651685,0.03524399690162665,28.5,0.005422153369481022
19.0,4,121.0,112,2868,15.5,73,2,volvo 144ea,4.718498871295094,0.03905160390516039,30.25,0.005404463040446304
15.0,8,318.0,150,3399,11.0,73,1,dodge dart custom,5.0106352940962555,0.0441306266548985,39.75,0.003236245954692557
24.0,4,121.0,110,2660,14.0,73,2,saab 99le,4.700480365792417,0.041353383458646614,30.25,0.005263157894736842
20.0,6,156.0,122,2807,13.5,73,3,toyota mark ii,4.804021044733257,0.04346277164232276,26.0,0.004809405058781618
11.0,8,350.0,180,3664,11.0,73,1,oldsmobile omega,5.19295685089021,0.04912663755458515,43.75,0.003002183406113537
20.0,6,198.0,95,3102,16.5,74,1,plymouth duster,4.553876891600541,0.030625402965828497,33.0,0.005319148936170213
19.0,6,232.0,100,2901,16.0,74,1,amc hornet,4.605170185988092,0.03447087211306446,38.666666666666664,0.005515339538090314
15.0,6,250.0,100,3336,17.0,74,1,chevrolet nova,4.605170185988092,0.02997601918465228,41.666666666666664,0.005095923261390888
31.0,4,79.0,67,1950,19.0,74,3,datsun b210,4.204692619390966,0.03435897435897436,19.75,0.009743589743589744
26.0,4,122.0,80,2451,16.5,74,1,ford pinto,4.382026634673881,0.032639738882088945,30.5,0.006731946144430845
32.0,4,71.0,65,1836,21.0,74,3,toyota corolla 1200,4.174387269895637,0.03540305010893246,17.75,0.011437908496732025
25.0,4,140.0,75,2542,17.0,74,1,chevrolet vega,4.31748811353631,0.029504327301337528,35.0,0.006687647521636507
16.0,6,250.0,100,3781,17.0,74,1,chevrolet chevelle malibu classic,4.605170185988092,0.026448029621793177,41.666666666666664,0.00449616503570484
16.0,6,258.0,110,3632,18.0,74,1,amc matador,4.700480365792417,0.0302863436123348,43.0,0.004955947136563877
18.0,6,225.0,105,3613,16.5,74,1,plymouth satellite sebring,4.653960350157523,0.029061721561029614,37.5,0.004566841959590368
16.0,8,302.0,140,4141,14.0,74,1,ford gran torino,4.941642422609304,0.03380825887466796,37.75,0.0033808258874667954
13.0,8,350.0,150,4699,14.5,74,1,buick century luxus (sw),5.0106352940962555,0.03192168546499255,43.75,0.0030857629282826132
14.0,8,318.0,150,4457,13.5,74,1,dodge coronet custom (sw),5.0106352940962555,0.03365492483733453,39.75,0.003028943235360108
14.0,8,302.0,140,4638,16.0,74,1,ford gran torino (sw),4.941642422609304,0.030185424752048298,37.75,0.0034497628288055198
14.0,8,304.0,150,4257,15.5,74,1,amc matador (sw),5.0106352940962555,0.035236081747709654,38.0,0.0036410617805966643
29.0,4,98.0,83,2219,16.5,74,2,audi fox,4.418840607796598,0.03740423614240649,24.5,0.007435781883731411
26.0,4,79.0,67,1963,15.5,74,2,volkswagen dasher,4.204692619390966,0.03413143148242486,19.75,0.007896077432501274
26.0,4,97.0,78,2300,14.5,74,2,opel manta,4.356708826689592,0.03391304347826087,24.25,0.006304347826086957
31.0,4,76.0,52,1649,16.5,74,3,toyota corona,3.951243718581427,0.031534263189812006,19.0,0.010006064281382655
32.0,4,83.0,61,2003,19.0,74,3,datsun 710,4.110873864173311,0.030454318522216674,20.75,0.009485771342985522
28.0,4,90.0,75,2125,14.5,74,1,dodge colt,4.31748811353631,0.03529411764705882,22.5,0.006823529411764706
24.0,4,90.0,75,2108,15.5,74,2,fiat 128,4.31748811353631,0.03557874762808349,22.5,0.007352941176470588
26.0,4,116.0,75,2246,14.0,74,2,fiat 124 tc,4.31748811353631,0.033392698130008905,29.0,0.006233303650934996
24.0,4,120.0,97,2489,15.0,74,3,honda civic,4.574710978503383,0.038971474487746086,30.0,0.006026516673362796
26.0,4,108.0,93,2391,15.5,74,3,subaru,4.532599493153256,0.03889585947302384,27.0,0.006482643245503974
31.0,4,79.0,67,2000,16.0,74,2,fiat x1.9,4.204692619390966,0.0335,19.75,0.008
19.0,6,225.0,95,3264,16.0,75,1,plymouth valiant custom,4.553876891600541,0.029105392156862746,37.5,0.004901960784313725
18.0,6,250.0,105,3459,16.0,75,1,chevrolet nova,4.653960350157523,0.030355594102341718,41.666666666666664,0.004625614339404453
15.0,6,250.0,72,3432,21.0,75,1,mercury monarch,4.276666119016055,0.02097902097902098,41.666666666666664,0.006118881118881119
15.0,6,250.0,72,3158,19.5,75,1,ford maverick,4.276666119016055,0.022799240025332488,41.666666666666664,0.006174794173527549
16.0,8,400.0,170,4668,11.5,75,1,pontiac catalina,5.135798437050262,0.03641816623821765,50.0,0.0024635818337617825
15.0,8,350.0,145,4440,14.0,75,1,chevrolet bel air,4.976733742420574,0.03265765765765766,43.75,0.003153153153153153
16.0,8,318.0,150,4498,14.5,75,1,plymouth grand fury,5.0106352940962555,0.03334815473543797,39.75,0.003223654957759004
14.0,8,351.0,148,4657,13.5,75,1,ford ltd,4.997212273764115,0.031780115954477134,43.875,0.0028988619282800084
17.0,6,231.0,110,3907,21.0,75,1,buick century,4.700480365792417,0.028154594317890965,38.5,0.0053749680061428206
16.0,6,250.0,105,3897,18.5,75,1,chevroelt chevelle malibu,4.653960350157523,0.026943802925327175,41.666666666666664,0.004747241467795741
15.0,6,258.0,110,3730,19.0,75,1,amc matador,4.700480365792417,0.029490616621983913,43.0,0.005093833780160858
18.0,6,225.0,95,3785,19.0,75,1,plymouth fury,4.553876891600541,0.02509907529722589,37.5,0.005019815059445178
21.0,6,231.0,110,3039,15.0,75,1,buick skyhawk,4.700480365792417,0.0361961171437973,38.5,0.004935834155972359
20.0,8,262.0,110,3221,13.5,75,1,chevrolet monza 2+2,4.700480365792417,0.034150884818379384,32.75,0.0041912449549829246
13.0,8,302.0,129,3169,12.0,75,1,ford mustang ii,4.859812404361672,0.04070684758598927,37.75,0.003786683496371095
29.0,4,97.0,75,2171,16.0,75,3,toyota corolla,4.31748811353631,0.03454629203132197,24.25,0.007369875633348687
23.0,4,140.0,83,2639,17.0,75,1,ford pinto,4.418840607796598,0.03145130731337628,35.0,0.006441834028040924
20.0,6,232.0,100,2914,16.0,75,1,amc gremlin,4.605170185988092,0.03431708991077557,38.666666666666664,0.00549073438572409
23.0,4,140.0,78,2592,18.5,75,1,pontiac astro,4.356708826689592,0.03009259259259259,35.0,0.007137345679012345
24.0,4,134.0,96,2702,13.5,75,3,toyota corona,4.564348191467836,0.03552923760177646,33.5,0.004996299037749815
25.0,4,90.0,71,2223,16.5,75,2,volkswagen dasher,4.2626798770413155,0.031938821412505626,22.5,0.007422402159244264
24.0,4,119.0,97,2545,17.0,75,3,datsun 710,4.574710978503383,0.0381139489194499,29.75,0.0066797642436149315
18.0,6,171.0,97,2984,14.5,75,1,ford pinto,4.574710978503383,0.032506702412868634,28.5,0.004859249329758713
29.0,4,90.0,70,1937,14.0,75,2,volkswagen rabbit,4.248495242049359,0.036138358286009295,22.5,0.007227671657201859
19.0,6,232.0,90,3211,17.0,75,1,amc pacer,4.499809670330265,0.02802865151043289,38.666666666666664,0.005294300840859545
23.0,4,115.0,95,2694,15.0,75,2,audi 100ls,4.553876891600541,0.03526354862657758,28.75,0.005567928730512249
23.0,4,120.0,88,2957,17.0,75,2,peugeot 504,4.477336814478207,0.029759891782211702,30.0,0.0057490700033818055
22.0,4,121.0,98,2945,14.5,75,2,volvo 244dl,4.584967478670572,0.033276740237691005,30.25,0.004923599320882852
25.0,4,121.0,115,2671,13.5,75,2,saab 99le,4.74493212836325,0.0430550355672033,30.25,0.005054286783976039
33.0,4,91.0,53,1795,17.5,75,3,honda civic cvcc,3.970291913552122,0.029526462395543174,22.75,0.009749303621169917
28.0,4,107.0,86,2464,15.5,76,2,fiat 131,4.454347296253507,0.0349025974025974,26.75,0.006290584415584416
25.0,4,116.0,81,2220,16.9,76,2,opel 1900,4.394449154672439,0.03648648648648649,29.0,0.007612612612612612
25.0,4,140.0,92,2572,14.9,76,1,capri ii,4.5217885770490405,0.03576982892690513,35.0,0.005793157076205288
26.0,4,98.0,79,2255,17.7,76,1,dodge colt,4.3694478524670215,0.03503325942350333,24.5,0.007849223946784922
27.0,4,101.0,83,2202,15.3,76,2,renault 12tl,4.418840607796598,0.037693006357856496,25.25,0.006948228882833788
17.5,8,305.0,140,4215,13.0,76,1,chevrolet chevelle malibu classic,4.941642422609304,0.033214709371293,38.125,0.0030842230130486356
16.0,8,318.0,150,4190,13.0,76,1,dodge coronet brougham,5.0106352940962555,0.03579952267303103,39.75,0.0031026252983293555
15.5,8,304.0,120,3962,13.9,76,1,amc matador,4.787491742782046,0.03028773346794548,38.0,0.003508329126703685
14.5,8,351.0,152,4215,12.8,76,1,ford gran torino,5.0238805208462765,0.03606168446026097,43.875,0.0030367734282325033
22.0,6,225.0,100,3233,15.4,76,1,plymouth valiant,4.605170185988092,0.03093102381688834,37.5,0.004763377667800804
22.0,6,250.0,105,3353,14.5,76,1,chevrolet nova,4.653960350157523,0.031315240083507306,41.666666666666664,0.004324485535341485
24.0,6,200.0,81,3012,17.6,76,1,ford maverick,4.394449154672439,0.026892430278884463,33.333333333333336,0.0058432934926958835
22.5,6,232.0,90,3085,17.6,76,1,amc hornet,4.499809670330265,0.029173419773095625,38.666666666666664,0.005705024311183145
29.0,4,90.0,70,1937,14.2,76,2,vw rabbit,4.248495242049359,0.036138358286009295,22.5,0.007330924109447599
33.0,4,91.0,53,1795,17.4,76,3,honda civic,3.970291913552122,0.029526462395543174,22.75,0.00969359331476323
20.0,6,225.0,100,3651,17.7,76,1,dodge aspen se,4.605170185988092,0.027389756231169543,37.5,0.004847986852917009
18.0,6,250.0,78,3574,21.0,76,1,ford granada ghia,4.356708826689592,0.02182428651371013,41.666666666666664,0.0058757694459988805
